server,score,reliability,n_charted_matches,effective_pressure_points,normal_weighted_serve_win_rate,best_pressure_type,best_pressure_score,worst_pressure_type,worst_pressure_score,best_stake,best_stake_delta_pp,worst_stake,worst_stake_delta_pp,dominant_surface,profile_path
Lorenzo Musetti,1.2022718003868638,33.57406630339885,122,2731.9300117029643,0.6241180944969797,tiebreak,1.934285585117094,break_point,-0.0013120037470227,server_match_point,6.616138528323123,returner_set_point,-4.5939616728914885,hard,reports\player_profiles\lorenzo_musetti_profile.md
Felix Auger Aliassime,0.909540860158936,27.332321584844145,84,1680.8492558967573,0.6490785501422094,deuce,1.1160224210298983,break_point,0.0042107815833721,server_match_point,14.597762963307147,returner_match_point,-2.5067996052499653,hard,reports\player_profiles\felix_auger_aliassime_profile.md
Casper Ruud,0.6435351147109692,36.62191401771395,162,2601.2662923013977,0.6585147263390455,tiebreak,1.3171888339337194,deuce,-0.1154175815471015,server_match_point,7.4296918268560885,returner_match_point,-16.11312227257885,hard,reports\player_profiles\casper_ruud_profile.md
Jannik Sinner,0.6033475499371239,47.70876079901687,279,5455.501287762592,0.6830508422827751,tiebreak,1.8814089669647187,30_30,-0.1565065470442434,server_set_point,6.949965903985489,returner_match_point,-7.838047135620963,hard,reports\player_profiles\jannik_sinner_profile.md
Tallon Griekspoor,0.4620630352564275,35.520510124301566,109,2600.976548074309,0.654017090970203,tiebreak,1.5187217790873864,30_30,-0.8114540652933177,server_set_point,3.938204536539258,returner_set_point,-2.913290830971327,hard,reports\player_profiles\tallon_griekspoor_profile.md
Alexander Bublik,0.4092632020429004,26.49389617969421,87,1703.9911840265047,0.6300023672086968,tiebreak,1.9569767461579015,30_30,-1.5287363089207862,server_match_point,11.584802188761001,30_30,-6.130946668299875,hard,reports\player_profiles\alexander_bublik_profile.md
Botic Van De Zandschulp,0.4074181830784383,33.31916470280142,106,2708.6512011580176,0.6201754477819024,30_30,1.5633651113214913,deuce,-0.0781041642970137,30_30,4.665702867014721,server_match_point,-4.643320105550686,hard,reports\player_profiles\botic_van_de_zandschulp_profile.md
Carlos Alcaraz,0.2187814225534936,43.54079193992823,219,4870.975094666508,0.6639867481925841,30_30,0.6513326780039993,break_point,0.0083424719639277,returner_match_point,6.780579411261256,server_match_point,-4.489436292636739,hard,reports\player_profiles\carlos_alcaraz_profile.md
Daniil Medvedev,0.2145421893346292,46.40988333081083,239,5625.075943319484,0.6623702031353377,30_30,1.6236841611105162,deuce,-0.5166942116005901,server_match_point,4.152933420768945,returner_match_point,-11.042653572914496,hard,reports\player_profiles\daniil_medvedev_profile.md
Hubert Hurkacz,0.1204273338701501,51.44885358539146,281,5366.080092234209,0.6857662208425241,deuce,0.8218356891701827,tiebreak,-0.6340644058903414,returner_match_point,3.0261500887452164,returner_set_point,-1.0507738244591946,hard,reports\player_profiles\hubert_hurkacz_profile.md
Alexander Zverev,0.0191752114228226,37.80668213118301,140,3397.8478213877875,0.6680698430129174,tiebreak,0.2556959532769796,deuce,-0.4269279751949371,30_30,0.6356276473541866,returner_match_point,-11.388710908673506,hard,reports\player_profiles\alexander_zverev_profile.md
Novak Djokovic,-0.1249578001339891,43.17031743358153,197,3546.338822327649,0.6841010825098603,tiebreak,0.9067505459414738,deuce,-0.8213047200786212,returner_match_point,8.243043241826353,close_server_game_point,-3.7734975417099803,hard,reports\player_profiles\novak_djokovic_profile.md
Matteo Berrettini,-0.5326796559642706,27.125074573150325,76,1994.8465970583304,0.684713279934956,break_point,-0.0066905177827563,deuce,-1.1766504801730455,server_set_point,4.212551909556305,returner_set_point,-7.480985029620069,hard,reports\player_profiles\matteo_berrettini_profile.md
Dominic Thiem,-0.5869889812720348,26.62224798622084,75,1728.9134884424357,0.6497287938779279,tiebreak,0.0837312967682046,30_30,-1.14527855642026,server_set_point,6.986533204608958,30_30,-4.963861298566763,hard,reports\player_profiles\dominic_thiem_profile.md
Stefanos Tsitsipas,-0.6450657940131767,38.90561616217442,153,2806.9164371646066,0.6735044939922985,break_point,-0.0024280022369807,deuce,-1.5108300942235056,server_match_point,6.030026033861324,deuce,-2.8925736260402957,hard,reports\player_profiles\stefanos_tsitsipas_profile.md
Taylor Fritz,-0.9542713683501736,31.822207957055387,113,1949.0074167452249,0.6948224586661158,30_30,0.198264180540395,deuce,-1.6223860346585732,30_30,0.6283653498072916,returner_match_point,-18.113902671345304,hard,reports\player_profiles\taylor_fritz_profile.md
Alex De Minaur,-1.1696910256654671,31.55471012390248,114,2688.924001027365,0.6243636816025024,break_point,0.0017693045711676,tiebreak,-2.7184891674718186,break_point,0.36826736384348857,server_match_point,-6.179012334436196,hard,reports\player_profiles\alex_de_minaur_profile.md
Grigor Dimitrov,-1.187505479573202,28.25692908376313,95,1656.1510651559597,0.6677123271755547,break_point,-0.0042701995903675,deuce,-1.903033814939234,server_match_point,8.837983055594723,returner_match_point,-6.876385188638546,hard,reports\player_profiles\grigor_dimitrov_profile.md
Tommy Paul,-1.7967551524142455,26.466538555468752,75,1782.4642666022755,0.6384474945748131,break_point,-0.002570514748452,tiebreak,-3.0472100942682365,server_match_point,9.722750986017015,returner_match_point,-15.900549751167064,hard,reports\player_profiles\tommy_paul_profile.md
Andrey Rublev,-2.016736926643133,36.39685216391335,162,3102.034790597107,0.6732670854346,break_point,-0.0115708279036957,tiebreak,-3.1655390969905293,30_30,-0.032338052627023384,server_match_point,-10.703857178444832,hard,reports\player_profiles\andrey_rublev_profile.md
